ID_CLIENTE|TIPO_ID|NOMBRE CLIENTE|CORREO ELECTRONICO|CIUDAD|NUMERO CUENTA|FECHA ACTIVACION|ID_PROUCTO
20276278|4|Dante Carson|sapien@diam.edu|Siddi|904|20/06/2021|9
47198301|4|Daniel Riggs|libero.nec@tempusrisusDonec.co.uk|Tamworth|649|11/10/2017|7
34831692|1|Rigel Meyer|blandit@Phasellus.org|Bournemouth|873|09/01/2016|8
49454620|2|Axel Sargent|enim@tinciduntadipiscing.co.uk|Montalto Uffugo|367|04/05/2018|1
36732708|2|Mohammad Benton|condimentum@ridiculusmusDonec.co.uk|Builth Wells|449|10/06/2018|7
38048656|4|Harper Watson|Donec.consectetuer@nonummyFusce.net|Rocca di Cambio|617|07/05/2021|1
28739642|1|Zeus Wiggins|vestibulum@ipsumprimisin.net|Overrepen|186|18/08/2019|5
29603026|4|Jordan May|elementum.dui@ac.ca|Raiganj|960|20/10/2019|5
35251662|2|Rahim Lambert|Suspendisse.commodo.tincidunt@Curabitur.net|Merseburg|714|24/06/2016|2
34875773|4|Melvin Wilcox|Sed.eu@ornareegestasligula.org|Trazegnies|557|03/07/2019|10
42564048|1|Rogan Coleman|dui.Suspendisse.ac@euismodac.org|Zwijnaarde|137|10/02/2020|1
27518803|2|George Wood|cursus@Etiamimperdiet.net|Glendale|800|13/04/2016|7
21816293|3|Bradley Reyes|Vestibulum.ut@mollisDuissit.ca|Miami|373|29/03/2018|1
6388921|4|Alfonso Romero|tortor.Integer@gravidasitamet.net|Bad Kreuznach|655|10/07/2019|4
34633260|1|Hayes Cobb|nibh.dolor@adipiscing.com|Sint-Gillis|438|30/12/2015|3
30588055|2|Abraham Davenport|interdum.ligula@dis.org|Cochrane|686|26/07/2015|2
32996781|1|Amos Tyson|tincidunt@Aeneanmassa.ca|Alkmaar|122|26/10/2015|9
32809164|4|Dustin Barker|vel@magnaa.com|Fort St. John|568|27/11/2021|2
25479154|2|Dominic Morin|Nulla@erategettincidunt.net|Keith|507|11/06/2018|5
10964541|3|Clinton Mendoza|facilisis.non@nequepellentesquemassa.ca|Maizeret|179|02/08/2020|5
22022271|2|Jameson Whitaker|at.nisi.Cum@molestiearcuSed.co.uk|Lichtaart|991|22/11/2021|6
46496684|4|Thor Fox|consequat.auctor.nunc@dolordolortempus.net|Blackwood|826|30/07/2021|4
34589686|3|Clarke Cooke|ut.aliquam@semperet.com|Schepdaal|944|26/10/2019|7
18047132|3|Nathan Hale|ultrices.mauris.ipsum@enimmitempor.net|Cuceglio|115|03/01/2021|7
35547573|3|Jack Robles|vitae.mauris@cursusluctus.org|Portezuelo|178|22/10/2016|7
41083053|4|Merritt Small|tempor.diam.dictum@Ut.org|Minitonas|976|02/01/2015|5
40729603|3|Wang Rowland|ac.fermentum.vel@ultrices.ca|Awka|828|18/01/2016|9
46109897|4|Blaze Mcfarland|tellus.Aenean.egestas@felisegetvarius.org|Belfort|545|18/09/2018|4
23273424|2|Hilel Carver|ac.metus@loremvehicula.edu|Cabo de Hornos|673|24/10/2015|1
44133040|1|Samson Oneal|a.odio.semper@semutcursus.co.uk|Comeglians|761|29/11/2021|9
50203720|1|Xenos Nixon|Donec@tempuslorem.co.uk|Taunusstein|854|27/04/2019|9
36599844|2|Marvin Coleman|lacus.Ut.nec@senectusetnetus.net|Ukkel|355|30/08/2018|7
30471707|1|Stuart Fitzgerald|a@diamSed.org|Banjar|647|10/09/2015|8
33691333|3|Nero Chapman|et.ultrices.posuere@ipsum.net|Pirque|838|11/06/2018|6
24252697|4|Jonah Bird|Integer@Pellentesque.net|Pietrarubbia|859|14/03/2017|8
10675185|1|Aaron Noble|Donec.elementum@pellentesqueafacilisis.net|Olinda|208|16/07/2018|6
26190928|4|Jerome Bonner|cursus@velit.ca|Khyber Agency|586|17/05/2017|8
47848144|4|Vincent Kelley|Nulla.aliquet.Proin@Quisqueporttitor.ca|Alençon|232|20/08/2017|8
31272216|1|Colt Talley|neque.sed@egestasSedpharetra.edu|Itanagar|298|19/02/2016|9
33108444|3|Josiah Burnett|Vivamus.nibh.dolor@arcu.net|Carapicuíba|809|04/08/2015|7
14864729|1|Keith Hamilton|molestie.tortor@consectetueradipiscingelit.org|Scena/Schenna|500|30/07/2020|5
22756418|3|Carlos Emerson|et@sitamet.com|New Glasgow|410|27/05/2020|6
15136031|2|Igor Howard|consectetuer.ipsum@semmolestiesodales.com|Spiere|822|22/02/2017|1
12793121|4|Mark Savage|Duis.a.mi@ante.edu|Bellefontaine|710|17/06/2015|4
5308369|4|Akeem Brewer|vestibulum.lorem@vulputateveliteu.com|Sankt Ingbert|810|15/01/2017|1
45246686|3|Kyle Osborne|tempus.risus@eget.com|Amiens|909|12/11/2019|7
23620316|4|Devin Mckenzie|Ut.semper.pretium@magnisdis.ca|Sart-Eustache|250|08/04/2019|1
25455508|1|Chester Gilmore|purus.Maecenas@egestas.net|Taber|699|25/02/2019|6
20329367|3|Declan Nguyen|facilisis.non.bibendum@leoelementum.edu|Kahramanmaraş|783|10/03/2020|8
42265708|2|Keith Hubbard|dis.parturient.montes@eget.net|Staßfurt|423|08/09/2018|6
29103319|3|Uriel Ewing|Integer@rutrum.ca|Saint-Denis-Bovesse|792|04/06/2015|1
31035384|3|Benjamin Hoover|molestie.tortor@massa.net|Crotta d'Adda|441|04/06/2015|10
34075145|1|Charles Jacobs|semper.auctor.Mauris@Fuscealiquet.com|Rosciano|993|03/12/2021|6
6283649|4|Kuame Larson|enim.Nunc@quis.net|Bergen|930|18/08/2018|10
36321167|3|Brennan Blevins|vel.arcu@in.net|Castel Maggiore|815|22/10/2016|1
43169317|2|Vaughan Velez|faucibus@Vivamus.co.uk|Sint-Joost-ten-Node|832|18/07/2016|2
16917174|3|Erich Anderson|dolor.dapibus.gravida@risus.net|Voronezh|241|11/11/2018|1
41271521|3|Rajah Santiago|massa.non@pede.com|San José de Maipo|519|03/12/2019|2
12045112|2|Barclay Fowler|nulla.ante.iaculis@Fusce.net|Habay-la-Vieille|405|11/06/2016|1
25924675|4|Jack Gibbs|sagittis.placerat@incursuset.ca|Vijayawada|371|10/01/2016|5
10042057|3|Randall Sargent|ipsum@odioAliquamvulputate.net|Stony Plain|531|13/09/2017|5
15559761|1|James Owen|Phasellus.at@pedeNuncsed.org|Divinópolis|165|26/07/2020|6
12300535|2|Damian Page|diam.eu.dolor@lectusconvallisest.org|İskenderun|804|10/07/2018|1
26336786|1|Xenos Salas|nunc@turpisegestas.edu|Jhang|199|27/07/2020|7
7092535|1|Hayden Melendez|non.bibendum@Donecporttitor.edu|Glimes|471|30/12/2018|9
10505742|4|Harding Lane|in@pede.org|Fumal|379|18/11/2020|6
9726266|2|Holmes Reeves|nibh.enim@temporerat.co.uk|Stratford-upon-Avon|319|09/05/2020|1
9805221|3|Connor Head|magna.Nam@consectetuermaurisid.ca|Timaukel|344|07/04/2021|6
37897789|4|Raphael Fitzgerald|fringilla.cursus.purus@aceleifend.ca|Saint-Oyen|459|27/05/2021|4
30418532|3|Xenos Simmons|et.libero@quamCurabiturvel.net|Salt Lake City|135|14/06/2018|1
27040937|2|Chadwick Mullins|velit.Quisque.varius@Sedetlibero.net|Rocky View|596|09/07/2015|5
10486292|4|Trevor Alvarado|adipiscing@Donec.net|Karachev|926|10/01/2015|5
50504350|2|Dalton Petty|magnis@eget.edu|Le Grand-Quevilly|403|06/09/2016|3
16268638|4|Hunter Vincent|odio.semper@cursuspurusNullam.ca|Pabianice|680|07/02/2019|5
32837287|3|Connor Simmons|tortor.at@perconubia.edu|Straubing|433|21/06/2016|3
9723258|4|Hector Bryant|Integer.vulputate.risus@venenatisa.ca|Chekhov|387|07/08/2020|10
33926040|2|Francis Morrison|ac.feugiat@lectus.ca|Rexton|662|19/04/2018|6
11935110|4|Gabriel Stone|lacus.varius@feugiatplaceratvelit.edu|Quilicura|527|03/08/2015|9
45860854|3|James Gay|aliquam@Nulla.net|Terneuzen|913|19/04/2019|1
7995108|1|Chancellor Smith|lobortis.nisi@aliquetmetusurna.com|Beveren|367|25/09/2019|6
50367238|3|Castor Nash|ipsum.primis.in@necquamCurabitur.ca|Pogliano Milanese|198|01/03/2019|1
43171013|3|Jasper Hurley|nec@tinciduntnibh.net|Beausejour|216|13/05/2020|5
37765939|3|Blaze Ashley|ipsum.Suspendisse.sagittis@pretium.com|Bazel|709|11/11/2020|5
31685628|1|Cameron Walsh|at.velit.Cras@bibendumsed.org|Jamshoro|413|24/04/2020|2
28822673|3|Dieter Griffin|eget.volutpat@congueelit.org|New Quay|370|18/04/2020|8
9221913|1|Kuame Mcguire|pulvinar.arcu@Innecorci.edu|Traiguén|420|19/05/2020|10
20830305|4|Marshall Rosa|ullamcorper.Duis@Curae.org|Garzón|829|24/12/2017|1
24150022|4|Arthur Ford|eget.lacus@sociis.com|Wolfsburg|917|28/12/2021|4
24736110|1|Jeremy Whitley|vulputate.dui@eros.ca|Notre-Dame-du-Nord|189|14/02/2020|4
13070987|1|Christopher Hoover|sed.consequat@euismodmauriseu.com|Panipat|399|31/05/2020|3
10075961|1|Mufutau Raymond|Sed.et@enim.net|Duque de Caxias|779|16/08/2020|8
40688730|2|Chester Bray|facilisis.magna.tellus@Suspendisse.co.uk|Bakal|417|20/08/2017|7
50033007|2|Nash Roach|orci@eratEtiam.co.uk|Duisburg|712|30/06/2018|1
17373421|1|Preston Keller|sit.amet.metus@elementumsemvitae.org|Reading|853|05/03/2020|3
23094917|4|Harrison Brennan|cursus@dignissimpharetra.org|Toledo|861|12/08/2015|8
20684128|3|Dennis Best|molestie.pharetra.nibh@Etiam.org|Gore|898|16/01/2017|10
17831088|4|Brian Padilla|Integer.aliquam.adipiscing@mattis.com|Kursk|252|29/01/2015|4
31918508|3|Damian Ayers|porttitor.tellus.non@eget.com|Belcarra|746|14/01/2016|7
17255836|1|Fletcher Petersen|lobortis@atvelit.org|Amqui|182|01/07/2018|6
19178970|4|Mason Flynn|fringilla@aliquet.co.uk|Vitrival|411|15/04/2021|1
