ID_CLIENTE|TIPO_ID|NOMBRE CLIENTE|CORREO ELECTRONICO|CIUDAD|NUMERO CUENTA|FECHA ACTIVACION|ID_PROUCTO
49504366|1|Francis Pittman|et@Suspendissenonleo.ca|Oetingen|536|12/01/2019|7
27003205|2|Lionel Ortega|tempus.scelerisque.lorem@enim.com|Perquenco|381|30/08/2015|4
32457673|2|Hiram Chapman|Sed.diam.lorem@luctusetultrices.net|Dos Hermanas|629|28/02/2020|8
17318622|1|Dorian Hawkins|luctus@Etiamvestibulum.edu|Dörtyol|510|13/01/2021|9
14471096|1|Arthur Marshall|sed@cursusvestibulum.edu|Bayreuth|689|23/06/2016|3
44121922|2|Colton Weaver|Maecenas.iaculis@ridiculus.org|Karabash|348|28/01/2020|3
30908715|1|Hop Mcgowan|Nunc.mauris.Morbi@enim.org|Chełm|436|04/02/2017|4
29423711|4|Ciaran Monroe|massa@non.ca|Yaroslavl|825|14/02/2020|6
40718559|4|Merrill Becker|Donec.feugiat@semper.net|Bath|259|18/08/2019|10
21831594|1|Magee Schultz|a.neque.Nullam@nonluctussit.org|Woodstock|735|21/07/2021|6
30271580|1|Christian Collier|sem@pharetrautpharetra.com|Gianico|848|29/02/2020|7
26658402|3|Bernard Lopez|eros@iaculisaliquetdiam.ca|Harbour Grace|839|07/12/2021|8
5984442|3|Preston Meyers|sociis.natoque@nonummyipsumnon.com|Norfolk|573|23/06/2020|8
5914734|4|Clark Perez|Donec.elementum.lorem@tinciduntduiaugue.org|Castelvecchio di Rocca Barbena|622|30/07/2019|8
42645088|1|Beck Stanley|in.dolor.Fusce@sagittisfelisDonec.com|Dipignano|424|25/06/2021|9
14553807|3|Tanek Schwartz|rutrum.non.hendrerit@eueros.com|Deschambault|470|13/10/2015|4
32208135|2|Colby Bryan|eleifend.nunc.risus@Phaselluslibero.co.uk|Frankfurt am Main|937|09/07/2019|10
17827891|4|Lewis Daugherty|nunc@turpis.co.uk|Grandrieu|957|07/05/2021|2
33333153|1|Fitzgerald Owens|fringilla.porttitor@Utsemper.com|Cicagna|750|13/02/2018|5
32578252|4|Cain Lawrence|Praesent.luctus.Curabitur@sed.edu|Georgia|930|20/04/2019|10
31784958|2|Perry Powell|ultricies.dignissim.lacus@venenatis.ca|Hulst|368|17/04/2015|8
31772536|2|Jonas Ellison|diam.vel@varius.com|Castelvecchio di Rocca Barbena|957|20/07/2017|4
31635424|1|Prescott Wiggins|lobortis.nisi.nibh@velit.net|Cherain|812|22/06/2021|5
32350681|1|Hu Vaughn|mauris@justonecante.net|Koekelberg|686|19/02/2018|3
29516707|1|Alan Mcintosh|ultrices.sit.amet@vitaealiquameros.org|Miryang|141|03/04/2018|1
19795321|2|Hyatt Cherry|pellentesque.a@libero.org|Liberchies|173|11/09/2021|2
46031860|2|Barclay Maynard|a.magna.Lorem@aauctor.com|Cherain|801|27/03/2017|6
32667531|1|Dominic Boyd|eu.odio@Morbineque.edu|Quimbaya|334|25/11/2020|7
47570342|2|Felix Sanchez|facilisis.magna.tellus@ut.org|Miraflores|998|28/12/2015|4
9875572|3|Lawrence Douglas|nonummy.ipsum@condimentumDonecat.org|Caplan|348|24/01/2021|2
10953720|4|Ray Vasquez|non.leo.Vivamus@velitdui.org|Heestert|346|11/08/2017|5
25678304|1|Bevis Whitehead|nisi@elementumdui.edu|Chieti|740|14/07/2018|5
9825810|3|Garrett Hodges|fames.ac.turpis@eliteratvitae.com|Perquenco|605|03/03/2021|5
25686310|4|Hashim Stevens|Cras.pellentesque@odio.co.uk|Paradise|285|27/08/2019|1
44816128|1|Zahir Frazier|id.mollis.nec@nisinibh.edu|Coutisse|662|08/02/2021|2
38037722|4|Fuller Patel|sapien.Cras@magnaCrasconvallis.org|Episcopia|711|24/12/2015|6
37243834|4|Connor Jacobson|fermentum@orciconsectetuereuismod.org|Lampa|715|12/07/2020|4
16856809|4|Jack Foley|egestas@amet.org|Ockelbo|978|01/10/2020|8
25255257|3|Hedley Sheppard|neque.vitae@etmagnis.org|Belgaum|347|16/02/2015|10
34180561|4|Garth Mckenzie|orci@vehiculaPellentesque.co.uk|Nadiad|578|03/12/2015|5
45067495|1|Porter Townsend|malesuada.fames@sollicitudincommodo.edu|Serrata|273|30/10/2021|3
39293597|2|Benjamin Trevino|fringilla.Donec.feugiat@luctusCurabituregestas.org|Hondelange|863|25/08/2017|2
22793811|4|Burke Marshall|non.hendrerit@lectusjusto.edu|Poviglio|919|22/06/2018|9
44815327|1|Dillon Padilla|natoque.penatibus@ipsumportaelit.edu|Anchorage|493|28/05/2020|5
23455871|3|Oliver Rocha|nibh@euismodac.edu|Great Yarmouth|674|07/11/2020|4
41105287|2|Raymond Mcneil|dui.semper.et@luctusvulputatenisi.co.uk|Juiz de Fora|227|04/10/2020|9
31766590|2|Hiram Strong|ut.sem@tristique.org|Port Glasgow|450|25/08/2020|5
24416206|2|Lester Pacheco|id@leoinlobortis.net|Riesa|349|08/08/2018|9
33232759|3|Matthew Ellison|blandit.viverra.Donec@odiotristiquepharetra.com|Molfetta|942|08/11/2018|7
37959701|2|Raymond Allison|dolor@massa.org|Avernas-le-Bauduin|137|06/01/2018|2
23498472|4|Dustin Calhoun|mollis@aliquam.com|Calle Larga|982|11/02/2021|9
34360527|3|Armando Frederick|dignissim.tempor@Morbinonsapien.com|Castel San Niccolò|740|09/09/2021|9
31894376|2|Xanthus Stokes|facilisis.magna@turpisNullaaliquet.net|Shahjahanpur|207|19/02/2021|2
7950204|4|John Sparks|luctus@Crasegetnisi.net|Innsbruck|163|19/06/2016|5
15023955|3|Herman Snider|quam@Suspendissetristique.edu|Loncoche|482|25/07/2020|3
17729408|3|Merrill Arnold|lorem.semper.auctor@Maecenas.edu|Gretna|262|20/04/2015|4
31267660|3|Rigel Ashley|Integer@magnatellusfaucibus.ca|Sangju|138|31/01/2018|7
19665401|2|Zachary Delacruz|elit.fermentum.risus@rutrumnon.com|Gwadar|463|09/07/2018|10
12630632|3|Marshall Battle|eget.volutpat.ornare@mifringilla.ca|Calvello|549|10/08/2017|2
41689910|2|Barry Leach|purus.sapien.gravida@acmattisvelit.edu|Mondolfo|657|05/07/2015|7
38652749|1|Marsden Gillespie|nisi.a@amet.com|Massemen|696|28/02/2018|8
32376366|2|Thor Ashley|aliquet@arcuCurabiturut.net|Santa Cruz de Tenerife|616|20/11/2018|9
49267200|3|Andrew Espinoza|eu.eros@ultricies.co.uk|Comblain-la-Tour|183|12/08/2016|4
5466103|4|Elijah Waller|natoque.penatibus.et@Donecnon.org|Wernigerode|233|24/04/2019|1
22106682|4|Orson Cobb|ut.nisi.a@Curabiturvellectus.com|LaSalle|736|03/09/2015|2
8802627|2|Hamilton Parrish|odio@eratEtiam.ca|Kharan|868|21/04/2020|7
38120206|2|Camden Hale|pellentesque.massa@mollisnec.org|San Javier|853|26/11/2018|7
9620296|3|Solomon Salazar|mauris@infaucibus.edu|Gasteiz|708|22/11/2018|6
35656073|3|Cullen Blankenship|dapibus.quam.quis@egestas.ca|Whitehorse|335|30/07/2020|6
10297065|1|Kennedy Kaufman|vulputate.lacus.Cras@nisidictum.org|Estación Central|619|16/03/2017|10
11787391|4|Logan Woods|ac.arcu.Nunc@orci.com|Arsimont|851|21/08/2018|4
14470614|2|Amal Wilkerson|sociis.natoque.penatibus@Nunclectus.edu|Lasne|489|16/12/2017|8
42931536|4|Josiah Freeman|tellus.Suspendisse@consectetueripsum.co.uk|Vico del Gargano|802|07/07/2015|8
12138862|3|Brody Edwards|lacinia@laoreetposuereenim.ca|Laramie|127|07/06/2016|3
48011006|4|Gil Shields|dolor.Fusce@Sedeget.edu|Auburn|633|07/03/2016|10
11678575|1|Lucius Mclaughlin|Donec@Mauris.co.uk|Probolinggo|387|05/12/2018|4
23564521|3|Daniel Garza|augue.scelerisque.mollis@Maurisnon.net|Zellik|944|10/12/2021|10
20922259|4|Aristotle Delgado|interdum.Curabitur.dictum@fringilla.edu|Aizwal|789|12/06/2018|6
21563393|4|Joel Watson|iaculis.aliquet@rutrum.com|Illkirch-Graffenstaden|862|26/08/2015|3
7187887|4|Ryder Flynn|amet@duiFuscealiquam.ca|Metz|308|03/07/2021|1
34163448|1|Caleb Wilkinson|Vivamus@convallis.com|Aguachica|173|12/10/2021|2
9484019|2|Avram Turner|justo.sit.amet@mollis.org|Jauchelette|974|18/11/2018|8
36220903|1|Isaiah Pacheco|velit.Pellentesque@Nullamvelit.edu|Lavoir|780|03/04/2015|4
12836917|3|Jakeem Gray|tincidunt@Crasinterdum.net|Aparecida de Goiânia|163|22/09/2018|10
11012984|3|Justin Norris|sollicitudin.adipiscing.ligula@Duisrisusodio.co.uk|Napier|179|27/04/2016|6
18782978|4|Melvin Rutledge|ullamcorper@sitametornare.edu|Ponte San Nicolò|237|05/11/2017|1
10257934|1|Galvin Walter|Sed@velturpisAliquam.net|New Sarepta|676|24/04/2018|3
29687595|1|Dean Knox|Vivamus.euismod.urna@Aeneansedpede.net|Ulm|429|06/05/2021|10
29074205|3|Owen Le|dis.parturient.montes@laoreet.org|Louisville|337|07/01/2021|4
17052001|3|Alec Sims|Nunc.laoreet@volutpatNulla.org|San Diego|612|31/07/2016|7
45420662|4|Armand Conway|neque.pellentesque.massa@Proineget.co.uk|Bahraich|687|25/08/2016|5
45897562|1|Allistair Clarke|pede.Nunc@enimSuspendisse.com|Paiguano|465|22/03/2016|6
49824320|3|Brody Morris|turpis.In.condimentum@eu.co.uk|Reggio nell'Emilia|654|28/03/2019|1
42774338|1|Nasim Wong|Aenean.sed@cursus.net|Toowoomba|825|19/09/2017|3
14700690|1|Cooper Calhoun|dui.nec.tempus@Integervitae.com|Heusden|417|26/06/2016|1
43855258|4|Talon Matthews|Morbi.neque.tellus@diamPellentesque.net|Shikarpur|642|25/11/2016|7
